"PAYS","variable","value"
"Italie","CA97",2
"Japon","CA97",1
"Chine","CA97",0
"Russie","CA97",0
"Canada","CA97",1
"Corée du Sud","CA97",0
"Taiwan","CA97",0
"Danemark","CA97",0
"Mexique","CA97",0
"Belgique","CA97",0
"Espagne","CA97",0
"Australie","CA97",1
"Autriche","CA97",1
"Israel","CA97",0
"Allemagne","CA97",0
"Argentine","CA97",0
"Iran","CA97",1
"Portugal","CA97",0
"Turquie","CA97",0
"Brésil","CA97",0
"Hong-Kong","CA97",1
"Roumanie","CA97",0
"Finlande","CA97",0
"Grèce","CA97",0
"Hongrie","CA97",0
"Serbie","CA97",0
"Suède","CA97",0
"Nouvelle-Zélande","CA97",0
"Philippines","CA97",0
"Pologne","CA97",0
"Afrique du Sud","CA97",0
"Algérie","CA97",0
"Bosnie","CA97",0
"Burkina Faso","CA97",1
"Cambodge","CA97",0
"Chili","CA97",0
"Colombie","CA97",0
"Egypte","CA97",0
"Guinée","CA97",0
"Haiti","CA97",0
"Inde","CA97",0
"Irak","CA97",0
"Irlande","CA97",0
"Mali","CA97",0
"Mauritanie","CA97",0
"Norvège","CA97",0
"Palestine","CA97",0
"Pays-Bas","CA97",0
"Sénégal","CA97",0
"Singapour","CA97",0
"Suisse","CA97",0
"Tchad","CA97",0
"Thailande","CA97",0
"Ukraine","CA97",0
"Albanie","CA97",0
"Bangladesh","CA97",0
"Bolivie","CA97",0
"Bulgarie","CA97",0
"Croatie","CA97",0
"Cuba","CA97",0
"Géorgie","CA97",0
"Islande","CA97",0
"Kazakhstan","CA97",0
"Kenya","CA97",0
"Liban","CA97",0
"Lituanie","CA97",0
"Malaisie","CA97",0
"Maroc","CA97",0
"Perou","CA97",0
"République Tchèque","CA97",0
"Slovaquie","CA97",0
"Slovénie","CA97",0
"Sri Lanka","CA97",0
"Uruguay","CA97",0
"Venezuela","CA97",0
"France","CA98",5
"Etats-Unis","CA98",3
"Royaume-Uni","CA98",2
"Italie","CA98",2
"Japon","CA98",0
"Chine","CA98",0
"Russie","CA98",1
"Canada","CA98",0
"Corée du Sud","CA98",0
"Taiwan","CA98",2
"Danemark","CA98",2
"Mexique","CA98",0
"Belgique","CA98",0
"Espagne","CA98",0
"Australie","CA98",1
"Autriche","CA98",0
"Israel","CA98",0
"Allemagne","CA98",0
"Argentine","CA98",0
"Iran","CA98",0
"Portugal","CA98",0
"Turquie","CA98",0
"Brésil","CA98",1
"Hong-Kong","CA98",0
"Roumanie","CA98",0
"Finlande","CA98",0
"Grèce","CA98",1
"Hongrie","CA98",0
"Serbie","CA98",0
"Suède","CA98",0
"Nouvelle-Zélande","CA98",0
"Philippines","CA98",0
"Pologne","CA98",0
"Afrique du Sud","CA98",0
"Algérie","CA98",0
"Bosnie","CA98",0
"Burkina Faso","CA98",0
"Cambodge","CA98",0
"Chili","CA98",0
"Colombie","CA98",1
"Egypte","CA98",0
"Guinée","CA98",0
"Haiti","CA98",0
"Inde","CA98",0
"Irak","CA98",0
"Irlande","CA98",1
"Mali","CA98",0
"Mauritanie","CA98",0
"Norvège","CA98",0
"Palestine","CA98",0
"Pays-Bas","CA98",0
"Sénégal","CA98",0
"Singapour","CA98",0
"Suisse","CA98",0
"Tchad","CA98",0
"Thailande","CA98",0
"Ukraine","CA98",0
"Albanie","CA98",0
"Bangladesh","CA98",0
"Bolivie","CA98",0
"Bulgarie","CA98",0
"Croatie","CA98",0
"Cuba","CA98",0
"Géorgie","CA98",0
"Islande","CA98",0
"Kazakhstan","CA98",0
"Kenya","CA98",0
"Liban","CA98",0
"Lituanie","CA98",0
"Malaisie","CA98",0
"Maroc","CA98",0
"Perou","CA98",0
"République Tchèque","CA98",0
"Slovaquie","CA98",0
"Slovénie","CA98",0
"Sri Lanka","CA98",0
"Uruguay","CA98",0
"Venezuela","CA98",0
"France","CA99",4
"Etats-Unis","CA99",4
"Royaume-Uni","CA99",2
"Italie","CA99",1
"Japon","CA99",1
"Chine","CA99",1
"Russie","CA99",1
"Canada","CA99",1
"Corée du Sud","CA99",0
"Taiwan","CA99",0
"Danemark","CA99",0
"Mexique","CA99",1
"Belgique","CA99",1
"Espagne","CA99",1
"Australie","CA99",0
"Autriche","CA99",0
"Israel","CA99",1
"Allemagne","CA99",0
"Argentine","CA99",0
"Iran","CA99",1
"Portugal","CA99",1
"Turquie","CA99",0
"Brésil","CA99",0
"Hong-Kong","CA99",1
"Roumanie","CA99",0
"Finlande","CA99",0
"Grèce","CA99",0
"Hongrie","CA99",0
"Serbie","CA99",0
"Suède","CA99",0
"Nouvelle-Zélande","CA99",0
"Philippines","CA99",0
"Pologne","CA99",0
"Afrique du Sud","CA99",0
"Algérie","CA99",0
"Bosnie","CA99",0
"Burkina Faso","CA99",0
"Cambodge","CA99",0
"Chili","CA99",0
"Colombie","CA99",0
"Egypte","CA99",0
"Guinée","CA99",0
"Haiti","CA99",0
"Inde","CA99",0
"Irak","CA99",0
"Irlande","CA99",0
"Mali","CA99",0
"Mauritanie","CA99",0
"Norvège","CA99",0
"Palestine","CA99",0
"Pays-Bas","CA99",0
"Sénégal","CA99",0
"Singapour","CA99",0
"Suisse","CA99",0
"Tchad","CA99",0
"Thailande","CA99",0
"Ukraine","CA99",0
"Albanie","CA99",0
"Bangladesh","CA99",0
"Bolivie","CA99",0
"Bulgarie","CA99",0
"Croatie","CA99",0
"Cuba","CA99",0
"Géorgie","CA99",0
"Islande","CA99",0
"Kazakhstan","CA99",0
"Kenya","CA99",0
"Liban","CA99",0
"Lituanie","CA99",0
"Malaisie","CA99",0
"Maroc","CA99",0
"Perou","CA99",0
"République Tchèque","CA99",0
"Slovaquie","CA99",0
"Slovénie","CA99",0
"Sri Lanka","CA99",0
"Uruguay","CA99",0
"Venezuela","CA99",0
"France","CA00",5
"Etats-Unis","CA00",4
"Royaume-Uni","CA00",2
"Italie","CA00",0
"Japon","CA00",2
"Chine","CA00",2
"Russie","CA00",0
"Canada","CA00",0
"Corée du Sud","CA00",1
"Taiwan","CA00",1
"Danemark","CA00",1
"Mexique","CA00",0
"Belgique","CA00",0
"Espagne","CA00",0
"Australie","CA00",0
"Autriche","CA00",0
"Israel","CA00",1
"Allemagne","CA00",0
"Argentine","CA00",0
"Iran","CA00",1
"Portugal","CA00",0
"Turquie","CA00",0
"Brésil","CA00",1
"Hong-Kong","CA00",0
"Roumanie","CA00",0
"Finlande","CA00",0
"Grèce","CA00",0
"Hongrie","CA00",0
"Serbie","CA00",0
"Suède","CA00",2
"Nouvelle-Zélande","CA00",0
"Philippines","CA00",0
"Pologne","CA00",0
"Afrique du Sud","CA00",0
"Algérie","CA00",0
"Bosnie","CA00",0
"Burkina Faso","CA00",0
"Cambodge","CA00",0
"Chili","CA00",0
"Colombie","CA00",0
"Egypte","CA00",0
"Guinée","CA00",0
"Haiti","CA00",0
"Inde","CA00",0
"Irak","CA00",0
"Irlande","CA00",0
"Mali","CA00",0
"Mauritanie","CA00",0
"Norvège","CA00",0
"Palestine","CA00",0
"Pays-Bas","CA00",0
"Sénégal","CA00",0
"Singapour","CA00",0
"Suisse","CA00",0
"Tchad","CA00",0
"Thailande","CA00",0
"Ukraine","CA00",0
"Albanie","CA00",0
"Bangladesh","CA00",0
"Bolivie","CA00",0
"Bulgarie","CA00",0
"Croatie","CA00",0
"Cuba","CA00",0
"Géorgie","CA00",0
"Islande","CA00",0
"Kazakhstan","CA00",0
"Kenya","CA00",0
"Liban","CA00",0
"Lituanie","CA00",0
"Malaisie","CA00",0
"Maroc","CA00",0
"Perou","CA00",0
"République Tchèque","CA00",0
"Slovaquie","CA00",0
"Slovénie","CA00",0
"Sri Lanka","CA00",0
"Uruguay","CA00",0
"Venezuela","CA00",0
"France","CA01",5
"Etats-Unis","CA01",4
"Royaume-Uni","CA01",0
"Italie","CA01",2
"Japon","CA01",3
"Chine","CA01",0
"Russie","CA01",1
"Canada","CA01",0
"Corée du Sud","CA01",0
"Taiwan","CA01",2
"Danemark","CA01",0
"Mexique","CA01",0
"Belgique","CA01",0
"Espagne","CA01",1
"Australie","CA01",1
"Autriche","CA01",1
"Israel","CA01",0
"Allemagne","CA01",0
"Argentine","CA01",0
"Iran","CA01",1
"Portugal","CA01",1
"Turquie","CA01",0
"Brésil","CA01",0
"Hong-Kong","CA01",0
"Roumanie","CA01",0
"Finlande","CA01",0
"Grèce","CA01",0
"Hongrie","CA01",0
"Serbie","CA01",0
"Suède","CA01",0
"Nouvelle-Zélande","CA01",0
"Philippines","CA01",0
"Pologne","CA01",0
"Afrique du Sud","CA01",0
"Algérie","CA01",0
"Bosnie","CA01",1
"Burkina Faso","CA01",0
"Cambodge","CA01",0
"Chili","CA01",0
"Colombie","CA01",0
"Egypte","CA01",0
"Guinée","CA01",0
"Haiti","CA01",0
"Inde","CA01",0
"Irak","CA01",0
"Irlande","CA01",0
"Mali","CA01",0
"Mauritanie","CA01",0
"Norvège","CA01",0
"Palestine","CA01",0
"Pays-Bas","CA01",0
"Sénégal","CA01",0
"Singapour","CA01",0
"Suisse","CA01",0
"Tchad","CA01",0
"Thailande","CA01",0
"Ukraine","CA01",0
"Albanie","CA01",0
"Bangladesh","CA01",0
"Bolivie","CA01",0
"Bulgarie","CA01",0
"Croatie","CA01",0
"Cuba","CA01",0
"Géorgie","CA01",0
"Islande","CA01",0
"Kazakhstan","CA01",0
"Kenya","CA01",0
"Liban","CA01",0
"Lituanie","CA01",0
"Malaisie","CA01",0
"Maroc","CA01",0
"Perou","CA01",0
"République Tchèque","CA01",0
"Slovaquie","CA01",0
"Slovénie","CA01",0
"Sri Lanka","CA01",0
"Uruguay","CA01",0
"Venezuela","CA01",0
"France","CA02",5
"Etats-Unis","CA02",3
"Royaume-Uni","CA02",4
"Italie","CA02",1
"Japon","CA02",0
"Chine","CA02",1
"Russie","CA02",1
"Canada","CA02",1
"Corée du Sud","CA02",1
"Taiwan","CA02",0
"Danemark","CA02",0
"Mexique","CA02",0
"Belgique","CA02",1
"Espagne","CA02",0
"Australie","CA02",0
"Autriche","CA02",0
"Israel","CA02",1
"Allemagne","CA02",0
"Argentine","CA02",0
"Iran","CA02",1
"Portugal","CA02",1
"Turquie","CA02",0
"Brésil","CA02",0
"Hong-Kong","CA02",0
"Roumanie","CA02",0
"Finlande","CA02",1
"Grèce","CA02",0
"Hongrie","CA02",0
"Serbie","CA02",0
"Suède","CA02",0
"Nouvelle-Zélande","CA02",0
"Philippines","CA02",0
"Pologne","CA02",0
"Afrique du Sud","CA02",0
"Algérie","CA02",0
"Bosnie","CA02",0
"Burkina Faso","CA02",0
"Cambodge","CA02",0
"Chili","CA02",0
"Colombie","CA02",0
"Egypte","CA02",0
"Guinée","CA02",0
"Haiti","CA02",0
"Inde","CA02",0
"Irak","CA02",0
"Irlande","CA02",0
